"","X","k","density","inf_prob","rec_rate","duration","max_I","max_prevalence","percep","p","H","beta1","beta2","beta3","betas","pbyH","Hurst","proportion","lstructure"
"1",1,8,0.25,0.2,0.1,94,14818,0.897407945736434,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,8,0.25,0.2,0.1,109,14903,0.902555717054264,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,8,0.25,0.2,0.1,91,14901,0.902434593023256,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,8,0.25,0.2,0.1,96,14894,0.902010658914729,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,8,0.25,0.2,0.1,109,14829,0.898074127906977,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,8,0.25,0.2,0.1,91,14870,0.900557170542636,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,8,0.25,0.2,0.1,86,14848,0.89922480620155,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,8,0.25,0.2,0.1,95,14855,0.899648740310077,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,8,0.25,0.2,0.1,121,14885,0.901465600775194,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,8,0.25,0.2,0.1,98,14870,0.900557170542636,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,8,0.25,0.2,0.1,132,14821,0.897589631782946,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,8,0.25,0.2,0.1,83,14805,0.896620639534884,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,8,0.25,0.2,0.1,93,14815,0.897226259689923,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,8,0.25,0.2,0.1,94,14827,0.897953003875969,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,8,0.25,0.2,0.1,93,14903,0.902555717054264,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,8,0.25,0.2,0.1,94,14819,0.897468507751938,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,8,0.25,0.2,0.1,109,14870,0.900557170542636,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,8,0.25,0.2,0.1,116,14832,0.898255813953488,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,8,0.25,0.2,0.1,92,14850,0.899345930232558,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,8,0.25,0.2,0.1,90,14880,0.901162790697674,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,8,0.25,0.2,0.1,102,14889,0.901707848837209,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,8,0.25,0.2,0.1,85,14894,0.902010658914729,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,8,0.25,0.2,0.1,96,14833,0.898316375968992,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,8,0.25,0.2,0.1,97,14787,0.895530523255814,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,8,0.25,0.2,0.1,90,14890,0.901768410852713,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,8,0.25,0.2,0.1,88,14827,0.897953003875969,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,8,0.25,0.2,0.1,87,14788,0.895591085271318,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,8,0.25,0.2,0.1,96,14860,0.899951550387597,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
